Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,indicator,weight
Moorabbin,3 Joan St,3.0,h,1100000.0,VB,Woodards,2018-01-17 00:03:00,14.3,0.0,3.0,1.0,3.0,636.0,Kingston City Council,-37.94123,145.04988,Southern Metropolitan,2555.0,1,0.8636363636363636
Maidstone,12 Inkerman St,3.0,h,1005000.0,S,Sweeney,2017-01-22 00:07:00,6.4,0.0,3.0,1.0,5.0,653.0,Maribyrnong City Council,-37.78639,144.88214,Western Metropolitan,3873.0,0,0.9545454545454546
Prahran,5/2 Karbarook Av,2.0,u,735000.0,PI,hockingstuart,2016-01-12 00:11:00,4.5,0.0,3.1370658605156576,4.068740859025194,2.0,364.20000000000005,Stonnington City Council,-37.8116074171643,144.9113581459763,Southern Metropolitan,7717.0,1,0.5909090909090908
Maidstone,16A Madden St,3.0,h,798000.0,PI,Biggin,2017-01-12 00:08:00,6.4,0.0,3.0,2.0,2.0,159.0,Maribyrnong City Council,-37.78974,144.88143,Western Metropolitan,3873.0,0,0.9545454545454546
Preston,10 May St,4.0,h,931000.0,S,Nelson,2016-01-06 00:08:00,8.8,0.0,2.0,1.0,1.0,498.99999999999994,Darebin City Council,-37.733,144.9988,Northern Metropolitan,14577.0,1,0.8636363636363636
Fawkner,6 Brooks St,3.0,h,700000.0,VB,hockingstuart,2017-01-12 00:08:00,13.1,0.0,3.0,1.0,4.0,658.0,Darebin City Council,-37.70711,144.97318,Northern Metropolitan,5070.0,1,0.8181818181818181
Essendon,25 Hesleden St,5.0,h,2050000.0,PI,Bullen,2017-01-12 00:08:00,7.5,0.0,5.0,3.0,3.0,663.0,Darebin City Council,-37.74351,144.92174,Western Metropolitan,9264.0,0,0.9090909090909091
Essendon,127 Deakin St,2.0,h,1280000.0,S,Nelson,2017-01-12 00:08:00,7.5,0.0,2.0,1.0,1.0,512.0,Moonee Valley City Council,-37.74121,144.89273,Western Metropolitan,9264.0,1,0.8636363636363636
Preston,23 Dean St,4.0,h,1260000.0,SP,Nelson,2016-01-14 00:05:00,8.8,0.0,4.0,3.0,2.0,654.0,Darebin City Council,-37.7365,145.0173,Northern Metropolitan,14577.0,0,0.9545454545454546
South Morang,28 Kestrel Rd,4.0,h,875000.0,S,Iconek,2017-01-08 00:07:00,20.5,0.0,4.0,2.0,2.0,613.0,Whittlesea City Council,-37.62648,145.07141,Northern Metropolitan,7969.0,0,0.9545454545454546
Kensington,109/102 Rankins Rd,1.0,u,410000.0,PI,Rendina,2017-01-08 00:07:00,3.4,0.0,1.0,1.0,1.0,1053.0,Melbourne City Council,-37.67568692089174,145.0093585219265,Northern Metropolitan,5263.0,1,0.7727272727272727
Boronia,34 Russell Cr,4.0,h,820000.0,S,Philip,2017-01-08 00:07:00,25.0,0.0,4.0,2.0,4.0,719.0,Knox City Council,-37.864340000000006,145.25739,Eastern Metropolitan,9704.0,0,0.9545454545454546
Preston,477 Murray Rd,5.0,h,1060000.0,SP,Nelson,2017-01-27 00:05:00,8.4,0.0,5.0,2.0,2.0,559.0,Darebin City Council,-37.73645,144.98715,Northern Metropolitan,14577.0,0,0.9545454545454546
Surrey Hills,66 Union Rd,4.0,h,2290000.0,SA,Fletchers,2017-01-12 00:08:00,10.2,0.0,4.0,2.0,2.0,909.9999999999999,Boroondara City Council,-37.82933,145.09642,Southern Metropolitan,5457.0,1,0.8636363636363636
Reservoir,4/134 McMahon Rd,2.0,u,357500.0,S,Ray,2016-01-07 00:05:00,11.2,0.0,2.0,1.0,1.0,129.0,Darebin City Council,-37.7099,145.0131,Northern Metropolitan,21650.0,1,0.8636363636363636
Oakleigh South,1/650 Warrigal Rd,3.0,h,615000.0,SP,RT,2016-01-12 00:11:00,14.7,0.0,4.2696141447302995,2.362952326155944,2.0,305.8,Kingston City Council,-37.87162422034106,144.99428402459307,South-Eastern Metropolitan,3692.0,1,0.5454545454545454
Gardenvale,4/8 Gardenia Rd,1.0,u,300000.0,S,hockingstuart,2017-01-09 00:12:00,7.2,0.0,0.2331260770909349,1.448851780507507,2.0,467.19999999999993,Glen Eira City Council,-37.80092632862935,145.12043626656256,Southern Metropolitan,534.0,1,0.5909090909090908
Sandringham,1 Victory St,3.0,h,1725000.0,S,Buxton,2017-01-09 00:09:00,15.2,0.0,3.0,1.0,2.0,493.0,Bayside City Council,-37.94901,145.01167,Southern Metropolitan,4497.0,0,0.9545454545454546
Ormond,672 North Rd,3.0,h,1103000.0,SP,Buxton,2017-01-09 00:09:00,11.4,0.0,3.0,1.0,2.0,401.0,Glen Eira City Council,-37.90491,145.04568,Southern Metropolitan,3578.0,0,0.9545454545454546
Northcote,15 Westgarth St,3.0,h,1260000.0,SP,Nelson,2017-01-09 00:09:00,5.3,0.0,3.0,2.0,1.0,240.4,Darebin City Council,-37.780640000000005,144.99417,Northern Metropolitan,11364.0,1,0.8181818181818181
Hoppers Crossing,113 Pannam Dr,4.0,h,505000.0,SP,Barry,2017-01-09 00:09:00,18.4,0.0,4.0,2.0,1.0,556.9999999999999,Wyndham City Council,-37.87014,144.69243,Western Metropolitan,13830.0,1,0.8181818181818181
Elwood,9 Mason Av,3.0,h,1400000.0,VB,Marshall,2017-01-09 00:09:00,7.2,0.0,3.0,2.0,2.0,225.0,Port Phillip City Council,-37.87614,144.99081,Southern Metropolitan,8989.0,0,0.9090909090909091
Collingwood,26/125 Oxford St,2.0,u,1250000.0,SP,Jellis,2017-01-09 00:09:00,2.0,0.0,2.0,2.0,2.0,908.9999999999999,Yarra City Council,-37.80236,144.98481999999998,Northern Metropolitan,4553.0,1,0.8636363636363636
Thornbury,316 Rossmoyne St,3.0,h,1375000.0,S,McGrath,2017-01-03 00:09:00,7.0,0.0,4.0,2.0,3.0,530.0,Darebin City Council,-37.75968,145.02305,Northern Metropolitan,8870.0,0,0.9545454545454546
Balwyn North,15 Ellendale St,3.0,t,1150000.0,S,Christopher,2016-01-06 00:08:00,9.2,0.0,3.0,2.0,1.0,207.0,Boroondara City Council,-37.7893,145.092,Southern Metropolitan,7809.0,0,0.9545454545454546
Balwyn North,3 Dumblane St,5.0,h,3300000.0,PI,hockingstuart,2016-01-03 00:12:00,9.2,0.0,5.0,4.0,2.0,760.0,Boroondara City Council,-37.7907,145.0907,Southern Metropolitan,7809.0,0,0.9545454545454546
Blackburn,2/8 Service Rd,3.0,u,1350000.0,S,Woodards,2018-01-17 00:03:00,13.4,0.0,1.4688707527866054,3.056394259444679,2.0,486.59999999999997,Boroondara City Council,-37.84089272802329,145.0364411016769,Eastern Metropolitan,5713.0,1,0.5454545454545454
Footscray,50 Everard St,2.0,t,620000.0,S,Jas,2018-01-17 00:03:00,5.1,0.0,2.0,1.0,0.0,104.0,Maribyrnong City Council,-37.79656,144.88523,Western Metropolitan,7570.0,1,0.9090909090909091
Melbourne,18/539 St Kilda Rd,1.0,u,510000.0,SP,Greg,2016-01-30 00:07:00,2.8,0.0,1.1142040023150277,2.1521123984788115,2.0,0.0,Melbourne City Council,-37.79767593027066,144.99862207143272,Northern Metropolitan,17496.0,1,0.5909090909090908
Carrum,1/46 Whatley St,4.0,h,800000.0,VB,Buxton,2018-01-17 00:03:00,31.2,0.0,2.2301605373316837,1.136431775711499,2.0,785.2,Kingston City Council,-37.83188425055824,144.9569415602146,South-Eastern Metropolitan,1989.0,1,0.5909090909090908
Mont Albert,7/86 Victoria Cr,3.0,t,870000.0,S,Noel,2016-01-22 00:08:00,11.8,0.0,4.739746680447498,1.5114503790742089,2.0,484.4,Boroondara City Council,-37.848683425900006,144.96275055812157,Eastern Metropolitan,2079.0,1,0.5909090909090908
Bundoora,22 Moreton Cr,3.0,h,814000.0,S,Barry,2017-01-03 00:09:00,12.1,0.0,3.0,1.0,2.0,542.0,Boroondara City Council,-37.70861,145.05691000000002,Northern Metropolitan,10175.0,1,0.8636363636363636
Bulleen,3/9 Amberley Ct,3.0,u,820000.0,PI,Parkes,2017-01-03 00:09:00,10.8,0.0,3.0,2.0,2.0,571.0,Manningham City Council,-37.78045,145.10038,Eastern Metropolitan,4480.0,0,0.9090909090909091
Broadmeadows,23 Bicknell Ct,3.0,h,673000.0,S,Stockdale,2017-01-03 00:09:00,14.0,0.0,3.0,1.0,1.0,659.0,Hume City Council,-37.69404,144.91763999999998,Northern Metropolitan,4294.0,1,0.8636363636363636
Blackburn North,12 Katrina St,3.0,h,1160000.0,S,Fletchers,2017-01-03 00:09:00,13.4,0.0,3.0,2.0,1.0,583.0,Whitehorse City Council,-37.80347,145.1427,Eastern Metropolitan,2867.0,1,0.8636363636363636
Niddrie,8 Rutland St,3.0,h,960000.0,PI,Barry,2016-01-30 00:07:00,11.2,0.0,3.0,1.0,1.0,645.0,Moonee Valley City Council,-37.736,144.8809,Western Metropolitan,2291.0,1,0.8636363636363636
Preston,5 Toolangi Gr,3.0,h,1045000.0,S,RW,2017-01-29 00:07:00,8.4,0.0,3.0,1.0,2.0,520.0,Darebin City Council,-37.75371,145.01963999999998,Northern Metropolitan,14577.0,1,0.8636363636363636
Mordialloc,4/6 Crown Av,2.0,u,600000.0,S,Barry,2017-01-29 00:07:00,21.5,0.0,2.0,1.0,1.0,0.0,Kingston City Council,-38.00765,145.0935,South-Eastern Metropolitan,3650.0,1,0.9090909090909091
Mill Park,14 Jasmine Dr,3.0,h,668000.0,S,Ray,2017-01-29 00:07:00,17.9,0.0,3.0,2.0,1.0,555.0,Whittlesea City Council,-37.6764,145.05085,Northern Metropolitan,10529.0,0,0.9545454545454546
Campbellfield,7 Kalgoorlie Ct,3.0,h,725000.0,SP,Jason,2018-01-17 00:03:00,16.6,0.0,3.0,1.0,1.0,677.0,Hume City Council,-37.68881,144.96135,Northern Metropolitan,1889.0,1,0.8636363636363636
Malvern East,44 The Boulevard,4.0,h,1700000.0,S,Jellis,2018-01-17 00:02:00,8.4,0.0,4.0,2.0,2.0,975.0,Stonnington City Council,-37.87324,145.08793,Southern Metropolitan,8801.0,1,0.8636363636363636
Northcote,9 Lawry St,3.0,h,1285000.0,PI,Barry,2017-01-27 00:05:00,5.3,0.0,3.8917513881835974,2.7049330773307547,2.0,226.20000000000002,Darebin City Council,-37.758747381034915,145.03948108143624,Northern Metropolitan,11364.0,1,0.5909090909090908
Mitcham,14 Victory St,2.0,h,883000.0,S,Jellis,2017-01-27 00:05:00,17.2,0.0,2.0,1.0,1.0,697.0,Whitehorse City Council,-37.81808,145.2057,Eastern Metropolitan,6871.0,1,0.9090909090909091
South Yarra,11/274 Domain Rd,2.0,u,621500.0,S,hockingstuart,2016-01-27 00:11:00,3.3,0.0,2.0,1.0,1.0,0.0,Melbourne City Council,-37.835,144.9905,Southern Metropolitan,14887.0,1,0.8636363636363636
Braybrook,32 Myalla St,3.0,h,910000.0,S,Douglas,2018-01-24 00:02:00,8.6,0.0,3.0,1.0,2.0,667.0,Maribyrnong City Council,-37.78816,144.84932,Western Metropolitan,3589.0,1,0.8636363636363636
Bulleen,2b Kenneth St,4.0,t,1150000.0,PI,Jellis,2018-01-24 00:02:00,10.8,0.0,4.0,2.0,1.0,299.0,Manningham City Council,-37.77443,145.0947,Eastern Metropolitan,4480.0,1,0.8636363636363636
Thornbury,1/73 Flinders St,2.0,u,462000.0,S,Nelson,2017-01-13 00:05:00,6.5,0.0,2.0,1.0,1.0,0.0,Darebin City Council,-37.7561,145.0067,Northern Metropolitan,8870.0,1,0.9090909090909091
South Yarra,11/17 Como Av,2.0,t,1040000.0,PI,RT,2017-01-22 00:04:00,3.3,0.0,0.9292511979253298,4.877771037015824,2.0,7308.599999999999,Melbourne City Council,-37.85998487700196,145.02319092010086,Southern Metropolitan,14887.0,1,0.5909090909090908
Cheltenham,40 Hibiscus Av,4.0,h,1180000.0,S,hockingstuart,2018-01-24 00:02:00,17.9,0.0,4.0,2.0,4.0,525.0,Bayside City Council,-37.96963,145.08267,Southern Metropolitan,9758.0,1,0.8636363636363636
Seddon,15 Bellairs Av,2.0,h,842000.0,S,Sweeney,2017-01-06 00:05:00,6.6,0.0,2.9176945286522256,3.3483907692567145,2.0,241.20000000000002,Maribyrnong City Council,-37.798392162783,144.94206240032122,Western Metropolitan,2417.0,1,0.5909090909090908
Ormond,286 Tucker Rd,4.0,t,1425000.0,S,Buxton,2017-01-20 00:05:00,11.8,0.0,4.0,2.0,2.0,314.0,Glen Eira City Council,-37.9084,145.0532,Southern Metropolitan,3578.0,0,0.9545454545454546
Northcote,1/96 Jenkins St,3.0,t,1000000.0,SP,McGrath,2017-01-22 00:04:00,5.5,0.0,3.5831726273901845,1.5070255615147434,2.0,277.6,Darebin City Council,-37.818021751575344,145.18085767282093,Northern Metropolitan,11364.0,1,0.5909090909090908
Northcote,23A Johnson St,2.0,h,995000.0,PI,Purplebricks,2017-01-08 00:04:00,5.5,0.0,2.0,1.0,2.0,227.99999999999997,Darebin City Council,-37.7634,144.9985,Northern Metropolitan,11364.0,0,0.9545454545454546
South Yarra,21/33 Murphy St,2.0,h,803000.0,S,hockingstuart,2016-01-22 00:05:00,3.3,0.0,2.0,1.0,1.0,0.0,Melbourne City Council,-37.8374,144.9903,Southern Metropolitan,14887.0,1,0.8181818181818181
Sunshine North,8 Hassett St,3.0,h,650000.0,SP,GL,2016-01-12 00:11:00,13.3,0.0,3.0,1.0,0.0,598.0,Brimbank City Council,-37.7705,144.8307,Western Metropolitan,4217.0,0,0.9545454545454546
Newport,9 Laurie St,4.0,h,1120000.0,S,hockingstuart,2017-01-08 00:04:00,8.4,0.0,3.8523220569546757,1.2000312120425538,2.0,414.4,Hobsons Bay City Council,-37.77823310654219,145.1023027279284,Western Metropolitan,5498.0,1,0.5909090909090908
Moonee Ponds,503/341 Ascot Vale Rd,2.0,u,542000.0,SA,Hodges,2017-01-29 00:04:00,6.9,0.0,2.0,2.0,1.0,0.0,Moonee Valley City Council,-37.7679,144.9245,Western Metropolitan,6232.0,0,0.9545454545454546
Melbourne,601/616 Little Collins St,4.0,u,1850000.0,VB,hockingstuart,2017-01-08 00:04:00,2.8,0.0,4.0,2.0,1.0,0.0,Melbourne City Council,-37.8177,144.9544,Northern Metropolitan,17496.0,0,0.9545454545454546
Footscray,4/5 Gordon St,2.0,u,375500.0,SP,Woodards,2018-01-24 00:02:00,5.1,0.0,1.6072349181757901,4.50378887178322,2.0,113.60000000000001,Maribyrnong City Council,-37.89124267711655,144.9992133964293,Western Metropolitan,7570.0,1,0.5909090909090908
Caulfield South,47 Ludbrook Av,3.0,h,1690000.0,S,Gary,2017-01-06 00:05:00,9.3,0.0,2.2934952563018145,1.8143124613343022,2.0,439.8,Glen Eira City Council,-37.75795609740782,145.10279008031273,Southern Metropolitan,5051.0,1,0.5909090909090908
Carnegie,26 Railway Rd,4.0,h,1667000.0,S,Ray,2017-01-20 00:05:00,11.4,0.0,4.0,2.0,2.0,615.0,Glen Eira City Council,-37.8928,145.0531,Southern Metropolitan,7822.0,0,0.9545454545454546
Toorak,1/53 Grange Rd,2.0,u,838000.0,S,hockingstuart,2016-01-07 00:11:00,4.6,0.0,2.0,1.0,1.0,0.0,Stonnington City Council,-37.8366,145.0114,Southern Metropolitan,7217.0,1,0.8636363636363636
Altona North,23 Rymill Ct,3.0,h,910000.0,S,hockingstuart,2017-01-29 00:04:00,11.1,0.0,3.0,1.0,3.0,535.0,Hobsons Bay City Council,-37.8322,144.8399,Western Metropolitan,5132.0,0,0.9545454545454546
Viewbank,12 Rosemary Ct,3.0,h,915000.0,S,Miles,2017-01-25 00:02:00,13.8,0.0,3.0,2.0,2.0,769.0,Hobsons Bay City Council,-37.7298,145.0947,Eastern Metropolitan,2698.0,1,0.8181818181818181
Strathmore Heights,12 Boeing Rd,4.0,h,931999.0,S,Nelson,2016-01-12 00:11:00,12.5,0.0,4.0,3.0,2.0,528.0,Moonee Valley City Council,-37.7137,144.8987,Western Metropolitan,389.0,0,0.9545454545454546
Sunshine West,4 Clematis Pl,5.0,h,621000.0,SP,Barry,2016-01-10 00:12:00,13.5,0.0,5.0,2.0,2.0,596.0,Brimbank City Council,-37.7981,144.7936,Western Metropolitan,6763.0,0,0.9090909090909091
Reservoir,1/33 McComas St,2.0,h,498000.0,S,Barry,2016-01-07 00:11:00,11.2,0.0,2.0,1.0,3.0,310.0,Darebin City Council,-37.7288,145.0224,Northern Metropolitan,21650.0,1,0.8636363636363636
Ashwood,4 Wippa Ct,3.0,h,1225000.0,S,hockingstuart,2017-01-01 00:07:00,10.2,0.0,3.0,1.0,2.0,770.0,Monash City Council,-37.87257,145.09781999999998,Southern Metropolitan,2894.0,1,0.8636363636363636
Rosanna,1/23 Ruthven St,3.0,t,650000.0,S,Barry,2016-01-07 00:11:00,11.4,0.0,2.674575497573446,1.6696842920326724,2.0,453.99999999999994,Banyule City Council,-37.85236442981659,145.0781551530966,Eastern Metropolitan,3540.0,1,0.5909090909090908
Mentone,5A Elizabeth St,3.0,t,1010000.0,S,Buxton,2017-01-27 00:05:00,20.0,0.0,3.0,1.0,2.0,309.0,Kingston City Council,-37.98009,145.06118,South-Eastern Metropolitan,6162.0,1,0.8636363636363636
Elwood,50 John St,2.0,h,1410000.0,S,Chisholm,2017-01-27 00:05:00,7.2,0.0,2.0,1.0,1.0,248.99999999999997,Port Phillip City Council,-37.87964,144.9856,Southern Metropolitan,8989.0,0,0.9545454545454546
Canterbury,42 Parlington St,4.0,h,4750000.0,S,Kay,2017-01-27 00:05:00,8.4,0.0,4.0,3.0,2.0,967.0,Boroondara City Council,-37.81792,145.06243999999998,Southern Metropolitan,3265.0,0,0.9545454545454546
Burwood,17a Spence St,4.0,h,1365000.0,S,Oriental,2017-01-27 00:05:00,10.4,0.0,3.7440905167825944,0.7019984910361149,2.0,661.6,Monash City Council,-37.75915740232447,144.97291880425627,Southern Metropolitan,5678.0,1,0.5909090909090908
Brunswick West,2/7 Gordon St,2.0,u,460000.0,S,Ray,2017-01-27 00:05:00,5.2,0.0,2.0,1.0,1.0,53.99999999999999,Moreland City Council,-37.75948,144.94758000000002,Northern Metropolitan,7082.0,0,0.9545454545454546
Brunswick,13 Blair St,2.0,h,860000.0,PI,Walshe,2017-01-27 00:05:00,5.2,0.0,2.0,1.0,1.0,245.0,Moreland City Council,-37.77111,144.96427,Northern Metropolitan,11918.0,0,0.9090909090909091
South Morang,4 Premier Av,3.0,h,545000.0,S,Stockdale,2017-01-24 00:06:00,20.5,0.0,4.6348003271726235,0.9734840761535235,2.0,449.79999999999995,Whittlesea City Council,-37.936642153515045,144.8712409079652,Northern Metropolitan,7969.0,1,0.5909090909090908
Hillside,54 Timele Dr,3.0,h,480000.0,PI,Barry,2017-01-24 00:06:00,18.0,0.0,3.0,2.0,1.0,320.0,Brimbank City Council,-37.70338,144.74854,Western Metropolitan,5556.0,1,0.8636363636363636
North Melbourne,9 George St,3.0,h,1270000.0,S,Peter,2018-01-17 00:03:00,1.8,0.0,3.0,2.0,2.0,214.0,Melbourne City Council,-37.79025,144.94093,Northern Metropolitan,6821.0,0,0.9545454545454546
Reservoir,6 Rodman St,3.0,h,905000.0,S,Barry,2016-01-19 00:11:00,11.2,0.0,3.0,1.0,2.0,949.9999999999999,Darebin City Council,-37.7022,145.0078,Northern Metropolitan,21650.0,0,0.9545454545454546
South Melbourne,52 Eastern Rd,3.0,h,2525000.0,S,Marshall,2016-01-27 00:11:00,2.1,0.0,3.0,2.0,1.0,234.0,Port Phillip City Council,-37.8355,144.9663,Southern Metropolitan,5943.0,1,0.9090909090909091
Reservoir,2/7 Colthur St,3.0,u,475000.0,SP,Barry,2016-01-22 00:08:00,11.2,0.0,3.0,1.0,2.0,521.0,Darebin City Council,-37.7097,144.9912,Northern Metropolitan,21650.0,0,0.9545454545454546
Coolaroo,36 Westmere Cr,3.0,h,390000.0,S,Barry,2017-01-24 00:06:00,17.4,0.0,4.848009034957608,5.987001006903124,2.0,473.59999999999997,Hume City Council,-37.808309902278125,144.9364700973767,Northern Metropolitan,1124.0,1,0.5909090909090908
Brighton East,9 Baird St,4.0,h,2720000.0,S,Marshall,2017-01-24 00:06:00,10.3,0.0,4.0,3.0,2.0,792.0,Bayside City Council,-37.92882,145.01109,Southern Metropolitan,6938.0,1,0.8636363636363636
Ringwood North,2/22 Avalon Gr,3.0,h,755000.0,SP,Carter,2017-01-17 00:06:00,19.9,0.0,3.0,2.0,2.0,306.0,Manningham City Council,-37.80384,145.22562,Eastern Metropolitan,3619.0,0,0.9545454545454546
Northcote,4 Barry St,2.0,h,905000.0,PI,Nelson,2017-01-17 00:06:00,5.3,0.0,2.0,1.0,0.0,113.99999999999999,Darebin City Council,-37.78024,144.99289,Northern Metropolitan,11364.0,1,0.8636363636363636
Croydon North,10 Malcolm Rd,4.0,h,820000.0,S,RW,2017-01-17 00:06:00,23.0,0.0,4.0,2.0,2.0,841.0,Maroondah City Council,-37.76917,145.29265,Eastern Metropolitan,2985.0,0,0.9545454545454546
Cheltenham,23 Alden Ct,4.0,h,1120000.0,S,Buxton,2017-01-17 00:06:00,17.9,0.0,4.0,2.0,2.0,806.0,Bayside City Council,-37.97245,145.07566,Southern Metropolitan,9758.0,1,0.8636363636363636
Taylors Hill,16 Kirribilli Bvd,3.0,h,680000.0,PI,Barry,2017-01-03 00:06:00,18.0,0.0,3.0,2.0,2.0,666.0,Bayside City Council,-37.71594,144.7415,Western Metropolitan,4242.0,0,0.8636363636363636
Princes Hill,109 McIlwraith St,3.0,h,1900000.0,PI,Nelson,2017-01-03 00:06:00,3.5,0.0,3.0,1.0,0.0,204.0,Yarra City Council,-37.78251,144.96817,Northern Metropolitan,1008.0,0,0.9545454545454546
Prahran,22 Abeckett St,3.0,h,1810000.0,PI,Marshall,2017-01-03 00:06:00,4.6,0.0,3.387618270409655,2.8701892685560857,2.0,155.6,Stonnington City Council,-37.85136,145.00925,Southern Metropolitan,7717.0,1,0.6818181818181819
Rosanna,21 Ruthven St,3.0,h,1050000.0,SP,Miles,2016-01-07 00:05:00,11.4,0.0,3.0,1.0,2.0,1016.0,Banyule City Council,-37.7299,145.0656,Eastern Metropolitan,3540.0,0,0.9545454545454546
Dallas,50 Kaniva St,3.0,h,310000.0,S,Raine,2017-01-24 00:06:00,14.0,0.0,3.0,1.0,1.0,595.0,Hume City Council,-37.66648,144.93399,Northern Metropolitan,2246.0,1,0.8181818181818181
Williamstown,2/125 Ferguson St,1.0,u,331000.0,S,Williams,2016-01-28 00:05:00,8.0,0.0,1.0,1.0,1.0,0.0,Hobsons Bay City Council,-37.8586,144.8933,Western Metropolitan,6380.0,1,0.8636363636363636
Maidstone,1/12 Clarendon St,3.0,h,490000.0,SP,Biggin,2016-01-26 00:07:00,9.2,0.0,3.0,1.0,2.0,269.0,Hobsons Bay City Council,-37.7844,144.8665,Western Metropolitan,3873.0,0,0.9090909090909091
Balaclava,11 Nelson St,2.0,h,1062000.0,PI,McGrath,2018-01-17 00:02:00,6.4,0.0,2.0,1.0,2.0,240.00000000000003,Port Phillip City Council,-37.86631,144.99358,Southern Metropolitan,2952.0,0,0.9090909090909091
Thornbury,31 Normanby Av,3.0,h,1211000.0,S,Woodards,2017-01-09 00:12:00,7.0,0.0,3.0,2.0,2.0,386.5999999999999,Darebin City Council,-37.75928,144.99707,Northern Metropolitan,8870.0,1,0.8181818181818181
Point Cook,7 Aynes Ct,3.0,h,640000.0,S,LJ,2017-01-11 00:11:00,14.7,0.0,3.0,2.0,2.0,577.0,Wyndham City Council,-37.8826,144.7483,Western Metropolitan,15542.0,1,0.8636363636363636
Niddrie,35 Diamond St,3.0,h,845000.0,S,Brad,2017-01-11 00:11:00,10.4,0.0,3.0,2.0,1.0,565.8000000000001,Moonee Valley City Council,-37.7472,144.8894,Western Metropolitan,2291.0,1,0.8181818181818181
Montmorency,6 Burke St,4.0,h,900000.0,S,Darren,2017-01-11 00:11:00,16.2,0.0,4.0,2.0,2.0,894.0,Banyule City Council,-37.7215,145.1183,Eastern Metropolitan,3891.0,1,0.8636363636363636
Meadow Heights,2/11 Elgata Cl,3.0,u,420000.0,S,YPA,2017-01-11 00:11:00,17.4,0.0,3.2959069476290517,1.4625257654851702,2.0,539.0000000000001,Hume City Council,-37.73311054464094,145.13426536219,Northern Metropolitan,4704.0,1,0.5909090909090908
Carlton North,563 Canning St,3.0,h,1650000.0,SP,Nelson,2017-01-11 00:11:00,3.5,0.0,3.0,1.0,1.0,195.0,Melbourne City Council,-37.7831,144.9751,Northern Metropolitan,3106.0,0,0.9545454545454546
South Melbourne,1111/28 Bank St,2.0,u,835000.0,S,Greg,2017-01-04 00:11:00,1.9,0.0,2.7552856718088505,2.367466901285998,2.0,1301.0,Port Phillip City Council,-37.827808286895774,144.96993332682197,Southern Metropolitan,5943.0,1,0.5909090909090908
Thornbury,15 Alston St,2.0,h,1170000.0,S,Nelson,2017-01-28 00:10:00,7.0,0.0,2.0,1.0,3.0,667.0,Darebin City Council,-37.75503,145.01805,Northern Metropolitan,8870.0,0,0.9090909090909091
